index	Domain	Label	Rating	Review
791	Jewelry	POS	5	wonderful product , recieve it promply without any problem . arrive properly package and in great condition . 5 star .
821	Jewelry	POS	5	well , i honestly think the ring be beautiful . while i be look for a ring to buy here on amazon.com , i see the ring i buy and i think it look beautiful and lovely so i buy the ring. : -rrb-
6	Jewelry	POS	5	the picture to this ring do not do it justice ! the stone be a very beautiful shade of blue and not to mention beautifully cut ! i love this ring and hate to take it off my finger to shower and to do the dish !
530	Jewelry	POS	5	my bf buy this ring for replace my steal promise ring . it be absolutely gorgeous in person . the picture hardly do it justice . it sparkle almost as wonderfully as a real diamond . in any light it be eye catch ^ , ^ i be very happy with it . you will not be sad if you get this ring . it come in a very timely manner , we get it in just a couple day and we pay for standard shipping .
107	Jewelry	POS	4	get within a few day , be a bit to big but return it and recieve it within a week .
520	Jewelry	POS	4	i be very satisfied with the product . it be not so fragile that it will break or bend quickly , but it have a nice , delicate look to it .
264	Jewelry	POS	4	the ring be just as advertise and deliver quickly . we love they . it do take a few day to ` break they in ' so they spin easily .
162	Jewelry	POS	5	my daughter eye lite up so very bright when she put this ring on . she have not take it off since put it on she finger . it be beautiful . very nice and shiney . high quality . this item be send in a very pretty box and she keep the box beside she bed . it be just perfect . i highly recommend gem avenue . great item , super fast shipping , and no nonsense like with a lot of online purchase . the item be exactly as describe . this seller be honest , informative , and very nice . i will purchase other item from gem avenue as this item be exactly as describe . thanks for make my daughter eye shine . joy
712	Jewelry	POS	5	i buy several piece to match my sterling silver celtic knot red garnet ring . i get a beautiful matching bracelet with the red garnet , and a pair of match celtic knot red garnet earring ! i also get a sterling silver celtic knot bracelet . i absolutely love they all ! great to do business with you ! thanks , candy : - -rrb-
717	Jewelry	POS	4	the ring be ship very quickly and the ring be great . i know where to go for jewlery next time .
123	Jewelry	POS	4	with the product everything be ok but the invoice be inside the package and not outside -lrb- as it should have ben for international shippin -rrb- . it get stick in the custom and i have to pay a extra fee for every day in the custom ' storage until i be able to pick it up ... could be improve organization-wise ...
122	Jewelry	POS	5	beautiful ring , sadly the firend i buy it for doesnt wear it : -lrb- warning : size run big !!!!!
327	Jewelry	POS	5	sterling silver celtic knot red garnet ring -lrb- sizes 4,5,6,7,8,9 -rrb-  i like it a lot and be glad i purchase it .
935	Jewelry	POS	5	i have have this ring almost a year now and still love it to death . i wear it everyday , it have never turn my finger green and i get compliment all the time . about a week ago a jewel come loose but you cant even tell , after almost a year thats great quality for the price .
328	Jewelry	POS	5	the ring be as describe . simply stunning ! i be currently wear it and have be since it come in several week ago . it have not turn my finger green and do not irritate my skin . a great gift for you daughter , girl friend , fiancee , mom , grandma , etc ! i will be do more business with this company .
149	Jewelry	POS	5	the stone be a more subdue blue than it show in the picture , but that could be due to my monitor more than any misrepresentation . the band be thick enough to feel very sturdy without feel bulky . the prong hold the stone do not snag at all -lrb- which be a problem i commonly have with cheaper jewelry -rrb- . the stone have a wonderful sparkle . overall , it be a gorgeous ring !
446	Jewelry	POS	5	rely on the review above , i buy this ring because it look so gorgeous . it be deliver really fast and look even better in life . it fit well and feel nice , too . i love it , especially that it resemble white gold , which we can not afford at the moment . . i like the fact that i do not have to worry about scratch it or anything , and it stay shiny too . absolutely love it . will recommend it to anyone who be tight on the budget , but still wants\/needs a ring ; -rrb-
