index	Domain	Label	Rating	Review
70	Jewelry	POS	5	one of the most beautiful ring i own ! no one can tell it be not a real diamond !!! i purchase a princess cut two year ago , and this be my second purchase . the ring be so pretty ! my next puchase will be the marquise when they have it in my size !!!
56	Jewelry	POS	5	my fiance buy i this as we engagement ring and i absolutely love it !!! i have always adore art deco pattern and this ring be a outstanding example of what be popular during that era . the cubic zirconia be stunning and the scroll work detail in the metal be truly unique in its design . i could not be happier with this ring !!!!
965	Jewelry	POS	4	what a great band ring ! wear it often and like the smooth feel and intense color . lot of fun for a low price .
594	Jewelry	POS	5	this ring be more than i expect ! it be a wonderful piece . i have win it everyday since i get it and have have many compliment on it . people love try to figure out how to put it back together . the photo 's be great but it look better once you slip it on . a great product .
371	Jewelry	POS	4	this ring be provide in its own box , with a beautiful free necklace and polish cloth give by palm beach jewelry . the ring itself be beautiful , and well make . it be delicate , yet strong in balance tone , color of stone and the arrangement be great . i would buy this item again from this location .
869	Jewelry	POS	5	i purchase this for a friend who have always want a claddagh ring . this one be far and away the best i have see in this price range . beautifully design and manufacture . very delicate feature . highly recommend .
382	Jewelry	POS	5	well i just want to say this be a beautiful ring and it be make my wife 's day . i love it its the best .
876	Jewelry	POS	5	a must have for a teenage goth who have everything else . plus , he skull earring along with this pewter ring complete he ensemble . neat gift for the price - can not beat it ...
321	Jewelry	POS	5	i love amber , i do not think people appreciate how it be make how old it be and the work of the element to make such gorgeous and unique piece of amber . this ring be a steal ! for the price i get a classic amber , green amber , and a gorgeous yellow amber . it fit perfectly , look lovely and go with nearly everything . want to buy more for a few friend who love mine .
913	Jewelry	POS	5	this be my fave ring of all time . it come with a string around it so it will not fall a part when you take it out of the box . although , mine have to be `` take '' apart . it do not just fall apart like some of the looser knot do . i love this ring & the company have a video you can watch & learn to how to put it , & other puzzle ring , back together . the indviual band be thin & can bend so you have to be nice it , but it be well worth the money .
402	Jewelry	POS	5	my wife and i buy for we 4 year old daughter after she ask we to buy she a ring ... she absolutely love this ring
219	Jewelry	POS	5	i purchase this ring for my daughter for christmas . it arrive in perfect conditon . the ring beat my expectation . i have worry that for the price it would be a little dinky ring , as that have happen when i buy from other place , but this be perfect . the size be great , it have a very nice appearance , shiny and a very clean look . the box it come in be so cute with a bow on top and i have not expect that . i be so pleased . if you have any doubt , do not ! it will not disappoint .
