index	Domain	Label	Rating	Review
582	Jewelry	POS	5	I love this ring only complaint be that it have get catch on my clothes and bent . I be pretty hard on ring though and it have not break yet . so , that to I show it be make durable .
254	Jewelry	POS	5	the ring be really awesome and the dragon pattern be clearly visible . it look really nice , but it be just a little heavy . I really like the ring and I plan on wear it a lot .
248	Jewelry	NEG	1	it be pretty , but it be not like in the picture . the two ring do not fit together , so there be a big gap . not for I .
913	Jewelry	POS	5	this be my fave ring of all time . it come with a string around it so it will not fall a part when you take it out of the box . although , mine have to be `` take '' apart . it do not just fall apart like some of the looser knot do . I love this ring & the company have a video you can watch & learn to how to put it , & other puzzle ring , back together . the indviual band be thin & can bend so you have to be nice it , but it be well worth the money .
485	Jewelry	NEG	2	i recieve the ring today just now actually and i notice it be a for prong ring not six and the stone be loose i hope i can get it fix i really want to where this ring . the reason the stone be loose be because the prong be bent if i can straighten it out i might be able to where it . dissapointed
2	Jewelry	NEG	1	I have a ring similar to this several year ago that be steal from I , be very impress by what be describe online & the image show of the item & so I buy it . buyer beware ! it be NOTHING LIKE the IMAGE SHOWN ! I be beyond disappointed & honestly would like my money back . the ring I get be blacken , very poorly craft , bent , dented , crack , scratch , crooked & look like it have be burn to a crisp before it be send to I -lrb- which be to say besides be mostly black all over , there be a coating of rough black substance quite like hardened soot on it -rrb- . I have have some bad purchase before but this be by far the worst . sometimes variation in the expectation of a online order be tolerable like size or color ... maybe even design and style but this look like they beat the crap out of it deliberatly before they send it to I . I will never buy from this seller again & strongly advise against other do so . seriously save you money and buy elsewhere
574	Jewelry	POS	5	its a great ring . it fit nicely and everything i have no problem with it at all . i lose it though which be my own fault , but im mention this to bring up the point that its not worth buy again . some thing be if you can afford it and this isnt it -lrb- unless you really like gorilla -rrb-
226	Jewelry	POS	4	this ring have great craftsmanship , its beautiful , and fit perfectly . I love it and never take it off .
109	Jewelry	POS	5	this be a great buy ! unlike other cz ring it be small and very beautiful . it be not gawdy like some can be . glad I buy this one as well !! I would definitely recommend this one as well . this really be a great company to deal with as well . thanks again !!
989	Jewelry	POS	4	when I see this ring , I think GOTTA HAVE IT . it look GOOD-BUT BETTER , IT be COMFORTABLE ON . as alway I receive great service . I be a REAL LOVER of RINGS-BUT NOT just ANY ring -- unique one and this one be that . the finish on the ring look great with the stone . regards , DONNA
804	Jewelry	NEG	1	this ring be beautiful when I first purchase it . I have now wear the ring 3 time and the metal be as dull as a hub cap . it seem as though there be no rhodium plate on it at all ! unfortunately I do not wear the ring right when I buy it and wait 6 month until I lose some weight . I be very disappointed and I will not be order from Gem Ave again . think twice before order . if I could I would return this ring .
746	Jewelry	POS	5	I order this ring for my girlfriend and can not wait to give this to she . I receive it alot faster than excepted and be amaze at the clarity of the stone . very impress with the quality for the money .
489	Jewelry	POS	5	this ring be beautiful ! I order this for my daughter as a gift . she absolutely love it !! she wear it every where she go and receive complement from many people . the stone do not go completely around the ring as it may appear . there be approximately 13 stone , and they be all georgous . I highly recommend this ring !! Eve 's addiction be also prompt on delivery . great company !
283	Jewelry	NEG	1	I have never even receive the ring ! I be send the wrong ring -lrb- which be $ 13 cheaper -rrb- , have to pay to mail the ring back , and have never receive a refund , a response from the seller or the correct ring .
244	Jewelry	POS	5	I do so enjoy wear this celtic knot ring with the blue topaz stone in it . I have have other ask I where I get it . and I sometimes say I get it from my husband when in fact I purchase it for myself . I enjoy wear celtic style ring or earring .
758	Jewelry	NEG	2	the ring look great when i first look at it , but upon closer inspection , there be clearly a mistake make when soldering the ring together . there be a large silver blob on the ring . also , the ring do not spin properly . it would spin in one direction when use a great amount of force and would not spin in the other direction at all . on a positive side , the return process be quite simple and my refund be credit to my card quickly .
622	Jewelry	NEG	1	I be so excited about my ring purchase , until I receive it . it look even cheaper then I be afraid of , the stone be flat , and didnt even appear to be cz it look like it come from a bubblegum machine . soooo disappointed .
319	Jewelry	POS	5	I really love the band . I buy one for I and a man 's ring for my husband of 20 year ! however , this be now the 3rd time I be write a review for the same product . not sure why I be ask to review again .
736	Jewelry	POS	4	very nice ring for my 11 year old . great construction . I personally do not believe that stainless steel should have cost more than $ -lrb- ... -rrb- , but I could not find ring in my son 's size anywhere else .
552	Jewelry	NEG	2	the peridot in the center be yellow color rather than green . . it really look more like five dollar costume jewelery than something worth spend $ 34 on . total rip off , do not buy it .
382	Jewelry	POS	5	well I just want to say this be a beautiful ring and it be make my wife 's day . I love it its the best .
859	Jewelry	NEG	2	this ring have a `` diamond '' that be over size for how light the actual ring be . snag on thing and the prong be not sturdy at all . I also buy this other ring and it be way better : -lrb- ... -rrb- Round Cut Cubic Zirconia cz 925 Sterling Silver Solitaire Ring 0.84 ct - Nickel Free engagement wedding ring
686	Jewelry	POS	4	I be not sure how the ring would look . the picture be ok , but could have give more detail . I find the ring pretty and I have recieve great review for the ring . other think it be a real turquoise ring . I do not correct they . I plan on purchase more ring as long as my size be available .
642	Jewelry	POS	5	it look just like the one in the movie ! absolutely beautiful ! I wear mine almost every day . I get so many compliment ! it be not too big or too small . I havent have a bit of problem with it and I be so glad I purchase this ring .
442	Jewelry	NEG	1	unfortunately , the ring I receive be a very distorted version of the one show in the picture . the skull look like Darth Vader . I be so disappointed .
630	Jewelry	POS	5	my dad get this ring for I , so he be let I write this review on he account . I love this ring ! the two picture of it on here do not do it justice . when I get it , it be nicely package in a little baggie inside a white cardboard box with foam , and it fit perfectly . everything be proportional -- no disturbingly large heart or deform hand , and the silver do not tarnish easily . however , it be fairly malleable and easy to scratch if you be not careful . I get a little scratch mark on the surface of the heart , and it be not really noticeable to anyone -lrb- except myself -rrb- but it still kind of bother I . even if I end up break it I 'll probably buy another of the same . : -rrb-
15	Jewelry	POS	4	my girlfriend and I get a matching pair of these when we start date a year and a half ago . they have hold up beautifully despite they daily beating over the last 500 + day . definitely solid . and I \/ we love the wave design - it be clean , pretty , and I really like the subtle clever use of negative space for the oppose wave . like the ying and the yang . my only complaint be the welding on the outer spinning band . you can not see it in the picture , but where the outer-band be weld together , there be about 3mm of welding material , cover a entire wave , and it look a mess . fortunately , it be smooth and do not really bother I that much . I be spin it around most of the time anyway . and it be not like this be a Tiffany 's ring -- for the price , it be really hard to complain .
768	Jewelry	NEG	1	nice ring of course or I would not have buy it ... but it be way overprice . wow ... way over price for the quality
653	Jewelry	NEG	1	I know this ring be cheap , but garnet be common stone and that decrease they value . I buy this ring around Christmas and it recently snap in two . I do not know sterling silver could break like that . I do not reccommend this product as it be not worth anyone 's money .
666	Jewelry	NEG	1	the ring be much smaller than what it appear like in the photo . the photo give the impression that the pearl be large and slightly raise . the `` pearl '' in the ring I get be actualy set flat in to the ring and it look like cheap mother of pearl , nothing like in the photo . also the band of the ring be very thin . overall I be very disapointed and I rarely wear the ring .
263	Jewelry	NEG	1	the ring be pretty , but the stone fall out within two week . I only wear it a few time . I definitely do not recommend it .
743	Jewelry	NEG	1	the stone fall out one day after own this ring , it be very beautiful and i would have it set again , this time much better than be ship , but i can not find the stone . oh i guess i will not be shop here anymore
374	Jewelry	NEG	2	I usually love ring from this company but be warn that this ring do not look anything like the picture . the ring I receive have a super long rectangular stone , not a nice square as see in the picture . Mine be also tarnish or look like it have torch mark up the side . I will definitely be return this ring .
