index	Domain	Label	Rating	Review
300	Movies_TV	POS	5	this be one film which use modern technology in one of the most useful way . the main draw of the film other than the excellent , all-star cast -lrb- will smith , gene hackman , jon voight , gabriel byrne . . -rrb- be the clever use of editing and camera technology to draw suspense and awe to a viewer . smith 's paranoid performance be the best of he career -lrb- hate he in id4 and mib -rrb- and gene hackman -lrb- good guy finally -rrb- basically reprise he character from the conversation in he best performance of all he seemingly endless action-thriller . i think this be jerry bruckheimer 's best film yet . . intelligent , witty , suspenseful , well-acted , well-directed , polished .
634	Movies_TV	POS	4	david tennant be my favorite doctor . how 's that for a starter ? billie 's not my favorite companion -lrb- that would be martha jones from series 3 , though amy pond may well take that title -rrb- , but everybody 's love for she be easily understandable . series 2 come out swinging . it become very clear from the very begin that this doctor be not a patient man , or forgiving . when the doctor give you ` one warn ' , you take it . `` no second chance . '' that come out quite a bit through-out tennant 's run as the doctor , he be a fight doctor . if you be a fan of doctor who , you need this series . if you be not a fan , this be the most likely series to change you mind .
252	Movies_TV	POS	5	this be one of the best movie i have see in the last week . it be base on something that can be true any moment and the fast action keep you glue to the tv .  higly recomend !
364	Movies_TV	POS	5	first off , the `` egg : '' watch closely when they flash brill 's info on the screen during the database search right after dean 's `` phone call '' so heavily allude to in the preview . no joke , the dude 's birthday be 9\/11 . i almost fall out of my chair . if you have not see enemy of the state yet , please do . it be a wonderfully do conspiracy\/chase thriller with stellar act from hackman and smith , a perfectly tune score , and morose , paranoid overtone that enhance the work as a whole . if you have see it and you be just camp review to make sure nobody crap all over you fave flick , watch it again and pause when brill 's id come up on the screen . somebody please tell i i be see thing . because the film 's subject matter make the coincidence a creepy one .
3	Movies_TV	POS	5	this sequal be wonderful . the animation be excellent , though other may comment that it be not correct to the original style . i hate to be the one to point this out , but we be no longer in the 50 's decade . animation have come a long way since then , so of course it will look sharper . from a artist 's standpoint , there be such subtly and depth to each scene that , storyline aside , it be delightful to watch - especially character reaction . as for the story , it be clean -lrb- which be a rarety in and of itself -rrb- as well as entertaining . the plot take a fun twist on what would happen if the wand be in another 's hand and really try to prove that even without magical assistance , cinderella could still hold she own . and be not that what the 50 's version be attempt to point out as well ? i do not think this movie detract from the original , but instead be a fun , relax form of entertainment . however , to be fair , the only part i find irritating be the change in the mouse 's diction . that be the only change that i find annoying enough to mention . that aside , it be nice to see a woman fight for she dream and get they - and a prince with a personality to boot ! so i would recommend this movie to those who just want a clean , fun , and intelligent source of entertainment for themselves as well as they child .
728	Movies_TV	POS	5	a great movie for both kid and adult . a big fan of disney , this be one of my favorite !!
560	Movies_TV	POS	5	i have be a dr who fan since the early 1970 , s this new series be exceptional . this time the continuity be there . no more wonder on why this happen when something in a earlier episode happen so why do this happen ? on a side note to the producer i have over 300 dr who vh tape that i make by tapee they on pb . i can and have review most all of em . why be the time lord go ? \* if a dalek can escape shouldnt a time lord be able to as well ?
529	Movies_TV	POS	5	this be a great series you can read the other rave review . i buy it to see the uncut version i would see on bbc america . here 's my problem . on my first disc in the 2nd episode , at 32 minute there be scene from texas chainsaw massacre : the begin this last for a few minute and then the disc go to the menu . something be really wrong . i be go to report it to the distributor . be it just my copy ? how ????
570	Movies_TV	POS	5	a terriffic film . the story be good . new star in early role blend with the long standing actor . very fun .
528	Movies_TV	POS	5	all i can say be wow !!  i hadnt watch peter pan in about 15 year , but it somehow remain one of my favorite . i get the special edition dvd last night and immediatly rip the amazon box and the wrap ... i watch the movie ... and suddenly i remember i could fly .  this be a fantastic story , where as a child you can relate , and certainly wish peter will lose he shadow in you bedroom .  this version have also some very interesting feature , like language track in french and spanish -lrb- its really funny to hear the character in another language -rrb- , commentary , game and more !  and ... after watch it again , and again , and again ... it still remain as one of my favorite !!
588	Movies_TV	POS	5	another fun one ! do it several time a week and i guarantee you will lose weight .
168	Movies_TV	POS	5	do they ever make a part 2 to this movie ? i see 1 and 3 but no 2 ... what go on ?
342	Movies_TV	POS	5	i have love the story of cinderella since i be a child . i do not see cinderella 2 , but when `` cinderella 3 - a twist in time '' come out i buy it . i watch it with my four year old granddaughter and we both enjoy the story . cinderella 's stepmother get the fairy god mother 's magic wand after anastasia steal it , and go back in time . the animation be very good and the story be delightful . my granddaughter love it and we have watch it many time . most sequel do not live up to the original , this one come very close and do not disappoint . great disney movie for the entire family .
601	Movies_TV	POS	5	everyone should have this dvd and watch with paren t , grandkid !!!! it 2wa a easter gift to one grandchild and to my husband -lrb- 80 year young -rrb- just great
997	Movies_TV	POS	4	will smith do it again ! after watch this movie i want to shut the blind , turn off the computer , unplug my phone and live like a hermit ! it be non-stop action from begin to end . my eye be red at the end of the movie because i be too afraid to blink and miss something !
266	Movies_TV	POS	5	i be introduce to dw not too long ago and i fall in love with it . i start with the original series very first 3 arc and have jump around the series ever since . the new series be just as enjoyable , if not more so , than the original , and now that i be up to season 4 , i have to say this have be my favorite so far . david tennant and billi pipper play off each other so well , that what make this season so great . they have great chemistry together on screen . add to that some great story line from this series -lrb- the christmas invasion , school reunion , rise of the cyberman , age of steel , the impossible planet , satan pit , army of ghosts , doomsday -rrb- really add to just how great this series 2 really be . i highly recommend this to anyone who be a fan of the series or who be try to get into it , its great !
994	Movies_TV	POS	4	i like this quite alot for 2 major reason ; 1 cinderella be willing to think for herself and on she foot . not just wait for somebody else to come along and save she . she think out plan , use she wit and yet do not stoop to be cruel to she sister . 2 . we really get to see anastacia rise above be a rather spoil self center person that she be raise to be , she really do want love , not really revenge . btw rather than other disney sequel -lrb- such as fox and the hound 2 -rrb- this be rather congluent to the original movie . it fit nicely without any major chink get in the way .
291	Movies_TV	POS	5	director tony scott 's enemy of the state be a engaging thriller . this film cover territory frequently traverse by alfred hitchcock , namely that of `` the wrong man '' be place in jeopardy without any plausible explanation . brilliantly play , will smith be that man . this film run at a breakneck pace as the nsa pursue smith for something he unwittingly have be hand . smith eventually become team with gene hackman who play a former nsa operative on the lamb . hackman 's character here seem base on he character from francis ford coppola 's the conversation . gene hackman be very good at what he do and he steal this film in the process . the pace be frenetic with the latest high tech surveillance devise include satellite gp system track smith and hackman 's every move . the climax be riveting with nsa bad guy jon voight and mob boss tom sizemore buck head . composer trevor rabin 's contribution to the score be very effective . gabriel byrne have a brief but pivotal scene . this be a good one .
608	Movies_TV	POS	5	well 1st i 'll start out by say what a huge doctor who fan i be . i mean they sure have come along way since the show begin , but i guess what i really want to say be the character of the show be so unique they just make the show that much more enjoyable . and you gotta love all the spinoff from the show like torchwood and some of the other . so all in all i ` de say it be something any doctor who fan should not be without .
